"","model","itter","acc","kappa","sensW","sensL","sensD"
"186","rf",38,0.6,0.344094286446323,0.794871794871795,0.611111111111111,0.260869565217391
"187","nnet",38,0.575,0.347252219822414,0.641025641025641,0.777777777777778,0.304347826086957
"188","knn",38,0.625,0.395770392749245,0.82051282051282,0.611111111111111,0.304347826086957
"189","NB",38,0.6375,0.414437152953054,0.82051282051282,0.611111111111111,0.347826086956522
"190","mlog",38,0.6625,0.451776649746193,0.871794871794872,0.611111111111111,0.347826086956522
"191","rf",39,0.575,0.355908122188018,0.896551724137931,0.521739130434783,0.285714285714286
"192","nnet",39,0.5375,0.30905695611578,0.896551724137931,0.739130434782609,0
"193","knn",39,0.55,0.318343195266272,0.96551724137931,0.521739130434783,0.142857142857143
"194","NB",39,0.625,0.43222143364088,0.896551724137931,0.565217391304348,0.392857142857143
"195","mlog",39,0.5625,0.341021416803954,0.896551724137931,0.652173913043478,0.142857142857143
"196","rf",40,0.5875,0.352465047829286,0.717948717948718,0.647058823529412,0.333333333333333
"197","nnet",40,0.575,0.328395061728395,0.846153846153846,0.764705882352941,0
"198","knn",40,0.6,0.355812783090086,0.794871794871795,0.529411764705882,0.333333333333333
"199","NB",40,0.6375,0.411764705882353,0.871794871794872,0.647058823529412,0.25
"200","mlog",40,0.6375,0.410569105691057,0.846153846153846,0.647058823529412,0.291666666666667
"201","rf",41,0.65,0.430460208492245,0.857142857142857,0.678571428571429,0.176470588235294
"202","nnet",41,0.6875,0.511599511599512,0.828571428571429,0.714285714285714,0.352941176470588
"203","knn",41,0.65,0.428425618780301,0.885714285714286,0.642857142857143,0.176470588235294
"204","NB",41,0.6875,0.499248873309965,0.885714285714286,0.678571428571429,0.294117647058824
"205","mlog",41,0.725,0.551592356687898,0.914285714285714,0.821428571428571,0.176470588235294
"206","rf",42,0.5875,0.344587884806355,0.810810810810811,0.666666666666667,0.2
"207","nnet",42,0.6,0.374847374847375,0.810810810810811,0.666666666666667,0.24
"208","knn",42,0.6,0.348931841302136,0.891891891891892,0.722222222222222,0.08
"209","NB",42,0.5875,0.348469891411649,0.810810810810811,0.666666666666667,0.2
"210","mlog",42,0.575,0.326732673267327,0.837837837837838,0.611111111111111,0.16
"211","rf",43,0.5625,0.277792107299458,0.810810810810811,0.476190476190476,0.227272727272727
"212","nnet",43,0.5375,0.244897959183673,0.783783783783784,0.666666666666667,0
"213","knn",43,0.5875,0.3141075604053,0.864864864864865,0.571428571428571,0.136363636363636
"214","NB",43,0.625,0.390708301599391,0.837837837837838,0.619047619047619,0.272727272727273
"215","mlog",43,0.5375,0.254971054618676,0.702702702702703,0.571428571428571,0.227272727272727
"216","rf",44,0.6125,0.355676799168615,0.853658536585366,0.421052631578947,0.3
"217","nnet",44,0.6,0.353372063652438,0.804878048780488,0.473684210526316,0.3
"218","knn",44,0.5875,0.31446377564269,0.829268292682927,0.473684210526316,0.2
"219","NB",44,0.6125,0.372628383506198,0.804878048780488,0.421052631578947,0.4
"220","mlog",44,0.6,0.335755059678256,0.853658536585366,0.473684210526316,0.2
"221","rf",45,0.6,0.373930056248471,0.818181818181818,0.666666666666667,0.217391304347826
"222","nnet",45,0.5625,0.31740614334471,0.787878787878788,0.791666666666667,0
"223","knn",45,0.5875,0.351510685335299,0.818181818181818,0.583333333333333,0.260869565217391
"224","NB",45,0.575,0.33674713484516,0.757575757575758,0.583333333333333,0.304347826086957
"225","mlog",45,0.6,0.375762009266033,0.787878787878788,0.583333333333333,0.347826086956522
"226","rf",46,0.6125,0.361483007209063,0.8,0.5,0.333333333333333
"227","nnet",46,0.6125,0.330453563714903,0.875,0.636363636363636,0
"228","knn",46,0.65,0.419388284085018,0.825,0.545454545454545,0.388888888888889
"229","NB",46,0.6125,0.377822378324135,0.775,0.5,0.388888888888889
"230","mlog",46,0.6375,0.410868461147791,0.8,0.5,0.444444444444444
"231","rf",47,0.5625,0.31187023838781,0.783783783783784,0.5,0.260869565217391
"232","nnet",47,0.6,0.365551425030979,0.864864864864865,0.8,0
"233","knn",47,0.6125,0.387654320987654,0.783783783783784,0.7,0.260869565217391
"234","NB",47,0.5625,0.307958477508651,0.756756756756757,0.5,0.304347826086957
"235","mlog",47,0.6125,0.389312977099237,0.783783783783784,0.7,0.260869565217391
"236","rf",48,0.5625,0.343493552168816,0.857142857142857,0.608695652173913,0.241379310344828
"237","nnet",48,0.5375,0.320321469575201,0.857142857142857,0.826086956521739,0
"238","knn",48,0.5375,0.30662918716327,0.964285714285714,0.565217391304348,0.103448275862069
"239","NB",48,0.5375,0.304020691276746,0.821428571428571,0.521739130434783,0.275862068965517
"240","mlog",48,0.575,0.365819538353929,0.821428571428571,0.695652173913043,0.241379310344828
"241","rf",49,0.6375,0.430535100638193,0.777777777777778,0.695652173913043,0.333333333333333
"242","nnet",49,0.625,0.392251202836161,0.888888888888889,0.782608695652174,0
"243","knn",49,0.625,0.392558845861807,0.916666666666667,0.478260869565217,0.285714285714286
"244","NB",49,0.6375,0.416938929379241,0.916666666666667,0.521739130434783,0.285714285714286
